Brand Name,Website,Instagram Handle,Instagram URL,Contact Email,Founder/Owner,Founder Contact/Profile,UK Location,Category,Instagram Followers,Ecommerce Website,Existing Marketplaces,Lead Score,Priority,Contact Page,Source URLs,Notes,Outreach Note,Last Verified
Bene Culture,https://beneculture.com/,@beneculture,https://www.instagram.com/beneculture/,info@beneculture.com,Vimal Chauhan and Hasim Jhina (co-founders),Not found,"Digbeth, Birmingham",Streetwear — own label plus a concept store stocking independent brands,"47,000",Yes,Stocked by END. (retailer),92,HIGH PRIORITY,Not found,https://beneculture.com/pages/store | https://www.instagram.com/beneculture/ | https://hypebeast.com/2023/8/bene-culture-interview-feature-community | https://www.endclothing.com/gb/brands/bene-culture/bene-culture,"Founded 2015; started as a Depop vintage shop before opening on Gibb Street, Birmingham B9 4AT in 2016. Runs its own drops via beneculture.com alongside stocking thisisneverthat, Stepney Workers Club and Drama Call. Follower count reported as 38k in an Aug-2023 Hypebeast feature and 47k on a later profile snapshot — treat as approximate. Co-founder names come from the Hypebeast interview, which names two of three founders; the third is not published.","Already curates and retails other independent labels — thisisneverthat, Stepney Workers Club, Drama Call — from its Gibb Street store. A brand that already believes in multi-brand curation is a far easier yes to a marketplace than a pure DTC label; the own-label drops are what would list.",2026-07-29
FORTY Clothing,https://fortyclothing.com/,@fortyclothing,https://www.instagram.com/fortyclothing/,Not found,Gordon Harry Miller and Peter Love,Not found,"Glasgow (Glasgow Fort, Silverburn, Royal Exchange Square)",Streetwear — 90s terrace and club culture influenced,"45,000",Yes,Not found,88,HIGH PRIORITY,https://fortyclothing.com/pages/contact,https://fortyclothing.com/pages/about | https://www.instagram.com/fortyclothing/ | https://www.shopsilverburn.com/news/forty-pr/ | https://www.glasgowfort.com/eatdrinkshop/forty-clothing,"Founded 2014; logo derived from a drawing by co-founder Harry Miller's son Bryce. Three Glasgow stores as of 2025. No published contact email was found — people-search sites offer a guessed first@fortyclothing.com pattern, which was deliberately not recorded. Use the contact page.",Runs three Glasgow stores but no marketplace distribution was found. UnveiledThreads offers reach beyond the west of Scotland without the cost of a fourth lease. Note there is no published email — the contact form is the only legitimate route in.,2026-07-29
CLINTS Inc,https://clints.co/,@clintsinc,https://www.instagram.com/clintsinc/,orders@clints.co,Junior Clint,https://www.instagram.com/junior.clint/,Manchester,Footwear-led streetwear — sneakers plus apparel,"130,000",Yes,Not found,82,HIGH PRIORITY,https://clints.co/pages/contact-us,https://clints.co/ | https://www.sneakerjagers.com/en/n/all-about-sneaker-brand-clints/49017 | https://clints.co/pages/contact-us | https://hypebeast.com/2023/2/meet-junior-clint-the-manchester-based-designer-stepping-correct-with-his-footwear-and-apparel-designs | https://www.instagram.com/junior.clint/ | https://www.manchestersfinest.com/places/clints/,"Founded 2019; debut 'TRL Footprints' trainer drop May 2020 sold out in an hour. Self-taught designer, has collaborated with Patta. Founder's personal Instagram @junior.clint reported at 38k. Brand follower figure is an April-2026 snapshot. orders@clints.co is an order-support address rather than a partnerships inbox — worth finding a better route before a commercial approach.","Its debut TRL Footprints trainer sold out in an hour and it has since collaborated with Patta — precisely the scarcity-led drop UnveiledThreads wants to feature. The only published address is order support, so find a partnerships contact before pitching.",2026-07-29
MKI Miyuki Zoku,https://www.mkistore.co.uk/,@mkimiyukizoku,https://www.instagram.com/mkimiyukizoku/,info@mkistore.com,Vik Taylor (founder & creative director),Not found,"Leeds (Corn Exchange, LS1 7BR)","Minimal streetwear — Japanese-influenced basics, outerwear, caps","119,000",Yes,Not found,82,HIGH PRIORITY,https://www.mkistore.co.uk/pages/contact,https://www.mkistore.co.uk/pages/contact | https://www.instagram.com/mkimiyukizoku/ | https://www.opumo.com/magazine/mki-miyuki-zoku/ | https://www.visitleeds.co.uk/things-to-do/view-all/mki/,"Founded 2010 by Leeds native Vik Taylor (previously BoConcept and Paul Smith). Flagship at Unit C4, Corn Exchange, Leeds. Follower count above the brief's 1k-100k sweet spot, so scored in the next band down — still independent and founder-run. Stockist footprint not verified.","Fifteen years independent and still founder-run from the Leeds Corn Exchange, with no verified stockist footprint. Worth asking directly whether they want UK reach outside Yorkshire without taking the wholesale margin hit.",2026-07-29
Death & Friends,https://www.deathnfriends.com/,Not found,Not found,info@deathnfriends.com,Not found,Not found,London,"Alternative / underground streetwear — graphic tees, hoodies, caps",Not found,Yes,Not found,68,MEDIUM PRIORITY,https://www.deathnfriends.com/pages/contact,https://www.deathnfriends.com/ | https://www.deathnfriends.com/pages/contact | https://x.com/DeathFriendsLtd,"Trades as Death & Friends Ltd, 22 Wenlock Road, London N1 7GU — note that is a very commonly used registered-office/mail-forwarding address, so it may not be where the brand actually operates. Active X account @DeathFriendsLtd; Instagram handle not confirmed in sources reviewed. Runs a recurring 'new arrivals' collection, so cadence is evidenced.","Runs a standing 'new arrivals' cycle and publishes info@deathnfriends.com, so the first approach is frictionless. Its underground/alternative niche would give UnveiledThreads a subculture category distinct from the Manchester-London streetwear core.",2026-07-29
1AWAY Attire,https://1awayattire.co.uk/,Not found,Not found,info@1awayattire.co.uk,Not found,Not found,Not found,"Headwear-led streetwear — bucket hats, snapbacks, trucker caps",Not found,Yes,Not found,63,MEDIUM PRIORITY,Not found,https://1awayattire.co.uk/,UK-registered domain; self-describes as a UK independent streetwear brand doing limited-edition numbered drops (e.g. the 0003 Ace of Spades bucket hat). Uses Instagram and TikTok as primary channels. Specific UK city not published in the sources reviewed.,"Sells numbered limited-edition headwear (the 0003 Ace of Spades bucket hat) with info@1awayattire.co.uk published. Accessories are thin on most marketplaces, which makes this a low-friction first listing.",2026-07-29
Batch1,https://batch1.com/,@batch1uk,https://www.instagram.com/batch1uk/,hello@batch1.com,Not found,Not found,South London,"Independent clothing & merch — in-house small batches, organic fabrics and inks",Not found,Yes,SilkFred,60,MEDIUM PRIORITY,Not found,https://batch1.com/ | https://www.instagram.com/batch1uk/ | https://www.silkfred.com/boutiques/batch1,"Designs and produces everything in-house in small batches using organic fabrics and inks — a strong story for a curated independent marketplace. Already has one marketplace relationship (SilkFred), so there is precedent for third-party channels without the distribution being saturated.",Designs and produces everything in-house in South London in small batches with organic fabrics and inks — the strongest provenance story on this list — and its existing SilkFred listing shows it is already comfortable selling through a third-party marketplace.,2026-07-29
Disturbia,https://www.disturbia.co.uk/,Not found,Not found,Not found,Frank Major (also published as Francis J Major),Not found,"Cramlington, Northumberland",Alternative / gothic / dark-romantic clothing and graphic tees,Not found,Yes,Stocked by Beserk (AU) and other alternative retailers,60,MEDIUM PRIORITY,Not found,https://www.disturbia.co.uk/pages/about | https://www.theupcoming.co.uk/2012/11/23/disturbia-clothing-purveyor-of-original-and-creative-fashion/,"Founded 2003 by a fashion graduate; registered at 3 Silverton Court, Northumberland Business Park, Cramlington NE23 7RY. Strong niche identity (punk/DIY, subverted pop culture). No published business email found — broker sites offer a guessed j@disturbia.co.uk pattern, which was not recorded.","Twenty years of a distinct punk/DIY graphic identity from Northumberland, with distribution confined to alternative retailers rather than mainstream marketplaces — room for UnveiledThreads without channel conflict.",2026-07-29
Protect London,https://protectldn.com/,Not found,Not found,Not found,Egor and Peter (first names only as published),Not found,London,"Streetwear — denim, sweats, hoodies, puffers, hats, accessories",Not found,Yes,Not found,58,MEDIUM PRIORITY,Not found,https://protectldn.com/ | https://www.vanityteen.com/protect-london-the-streetwear-brand-taking-the-uk-by-storm-and-expanding-globally/,Ran a self-funded small batch of jeans in 2022 that reportedly sold out in seconds — a genuine drop-and-sell-out model rather than always-on stock. Only the owners' first names are published; surnames were not found and have not been guessed.,"Self-funded a small jeans run in 2022 that reportedly sold out in seconds — proven drop demand with no marketplace presence found. Only the owners' first names are public, so the approach has to go through the site.",2026-07-29
WHOCLO,https://www.whoclo.com/,Not found,Not found,Not found,Not found,Not found,Wales,Skate-influenced streetwear — screen printed in-house,Not found,Yes,Not found,58,MEDIUM PRIORITY,Not found,https://www.whoclo.com/,"Trading since 2010 from a studio in Wales; states that every order is designed, screen printed, packed and shipped by the team in small quantities with no middlemen. That in-house, no-wholesale position is unusually well aligned with a curated independent marketplace, and means there is no existing distribution conflict to negotiate around.","Sixteen years screen printing every order in-house in Wales with an explicit 'no middlemen, no shortcuts' position and no marketplace distribution found. That makes UnveiledThreads purely additive — but expect the no-middlemen stance to need addressing head-on.",2026-07-29
